Gender,true_emotion,pred_emotion
Female,neutral,happy
Female,neutral,sad
Female,angry,angry
Female,neutral,neutral
Male,neutral,sad
Female,angry,surprise
Male,angry,neutral
Female,neutral,sad
Male,neutral,neutral
Female,angry,angry
Female,neutral,sad
Male,angry,sad
Female,neutral,neutral
Female,neutral,sad
Female,happy,sad
Female,angry,neutral
Male,neutral,sad
Male,neutral,sad
Male,neutral,contempt
Female,sad,happy
Female,neutral,neutral
Male,neutral,neutral
Male,angry,sad
Female,angry,angry
Female,neutral,neutral
Female,neutral,happy
Male,angry,sad
Male,neutral,angry
Female,neutral,neutral
Male,neutral,neutral
Female,angry,angry
Female,neutral,surprise
Female,angry,angry
Female,neutral,sad
Female,neutral,sad
Female,neutral,sad
Female,neutral,sad
Female,neutral,happy
Female,angry,neutral
Male,neutral,sad
Female,angry,neutral
Male,neutral,neutral
Female,angry,angry
Male,angry,sad
Male,angry,sad
Female,happy,neutral
Female,sad,sad
Male,angry,contempt
Female,neutral,sad
Female,happy,happy
Female,neutral,sad
Male,neutral,neutral
Male,neutral,neutral
Female,neutral,sad
Female,neutral,sad
Male,neutral,sad
Female,neutral,sad
Male,neutral,sad
Female,angry,angry
Female,neutral,sad
Female,angry,contempt
Female,angry,happy
Male,sad,sad
Male,angry,neutral
Male,happy,sad
Male,neutral,neutral
Male,neutral,neutral
Female,neutral,neutral
Female,angry,happy
Female,neutral,surprise
Male,neutral,sad
Male,neutral,sad
Female,neutral,happy
Female,angry,angry
Female,neutral,angry
Female,neutral,neutral
Female,sad,sad
Male,neutral,neutral
Male,angry,neutral
Male,neutral,sad
Male,neutral,neutral
Female,neutral,neutral
Female,neutral,sad
Female,neutral,sad
Female,neutral,sad
Female,angry,happy
Male,neutral,sad
Female,happy,happy
Male,sad,neutral
Female,angry,angry
Male,neutral,neutral
Male,neutral,sad
Female,angry,neutral
Female,neutral,sad
Female,neutral,sad
Male,neutral,neutral
Male,angry,sad
Male,neutral,sad
Female,angry,angry
Male,sad,neutral
Male,neutral,neutral
Male,neutral,neutral
Female,neutral,sad
Male,neutral,neutral
Female,neutral,contempt
Female,neutral,neutral
Female,sad,sad
Male,neutral,neutral
Male,neutral,sad
Male,angry,sad
Male,angry,angry
Female,angry,sad
Female,neutral,sad
Female,angry,angry
Male,neutral,happy
Female,angry,angry
Female,angry,angry
Male,neutral,neutral
Male,happy,surprise
Female,neutral,happy
Female,neutral,happy
Female,neutral,sad
Female,neutral,neutral
Male,happy,neutral
Male,sad,neutral
Male,neutral,sad
Male,angry,neutral
Male,neutral,neutral
Female,neutral,neutral
Female,angry,angry
Male,happy,contempt
Male,neutral,sad
Male,neutral,contempt
Female,sad,sad
Male,neutral,sad
Female,neutral,neutral
Male,neutral,neutral
Female,angry,neutral
Female,happy,surprise
Female,neutral,neutral
Male,neutral,neutral
Male,neutral,neutral
Female,neutral,sad
Female,angry,sad
Female,angry,angry
Female,angry,surprise
Female,happy,sad
Male,neutral,neutral
Female,neutral,neutral
Female,neutral,neutral
Male,neutral,sad
Male,neutral,sad
Male,neutral,neutral
Male,neutral,sad
Female,neutral,happy
Female,happy,happy
Female,neutral,sad
Female,happy,surprise
Male,neutral,sad
Male,neutral,neutral
Female,sad,happy
Female,sad,sad
Female,neutral,neutral
Male,angry,contempt
Male,neutral,neutral
Female,happy,angry
Male,neutral,neutral
Female,sad,sad
Female,angry,angry
Female,sad,sad
Male,neutral,sad
Female,neutral,sad
Female,neutral,sad
Female,neutral,neutral
Female,happy,sad
Female,angry,happy
Female,neutral,sad
Male,happy,happy
Female,neutral,neutral
Female,neutral,sad
Male,neutral,neutral
Female,angry,angry
Male,neutral,sad
Female,angry,surprise
Male,happy,neutral
Female,neutral,happy
Female,happy,contempt
Male,neutral,neutral
Male,neutral,sad
Male,angry,neutral
Male,neutral,neutral
Female,happy,sad
Male,sad,sad
Female,sad,sad
Female,neutral,surprise
Female,neutral,neutral
Female,sad,sad
Male,neutral,neutral
Male,angry,angry
Male,angry,angry
Male,angry,neutral
Female,neutral,sad
Female,sad,sad
Male,neutral,contempt
Male,neutral,sad
Female,neutral,sad
Male,neutral,neutral
Female,neutral,surprise
Female,angry,angry
Male,angry,surprise
Female,neutral,neutral
Male,neutral,neutral
Female,sad,sad
Male,neutral,neutral
Female,neutral,neutral
Female,angry,sad
Male,neutral,neutral
Male,neutral,sad
Female,angry,sad
Male,neutral,sad
Female,sad,sad
Male,neutral,angry
Male,neutral,neutral
Female,neutral,neutral
Male,neutral,neutral
Female,neutral,surprise
Female,angry,neutral
Male,neutral,neutral
Female,angry,happy
Female,neutral,sad
Female,neutral,neutral
Male,happy,neutral
Female,neutral,sad
Male,sad,neutral
Male,neutral,happy
Male,neutral,neutral
Female,angry,angry
Male,neutral,sad
Female,neutral,sad
Male,neutral,neutral
Female,angry,angry
Female,neutral,sad
Male,angry,contempt
Male,neutral,sad
Female,angry,angry
Female,angry,angry
Female,neutral,neutral
Female,happy,neutral
Male,neutral,happy
Female,sad,sad
Female,happy,happy
Female,sad,sad
Female,neutral,sad
Female,neutral,neutral
Female,happy,sad
Male,neutral,neutral
Male,neutral,neutral
Female,neutral,neutral
Female,neutral,sad
Male,neutral,neutral
Female,neutral,surprise
Male,neutral,sad
Male,neutral,sad
Female,angry,sad
Male,neutral,neutral
Male,neutral,neutral
Male,neutral,sad
Male,neutral,neutral
Female,neutral,sad
Female,neutral,happy
Female,neutral,neutral
Male,neutral,sad
Female,neutral,happy
Male,angry,happy
Female,angry,contempt
Female,angry,angry
Male,happy,surprise
