Gender,true_emotion,pred_emotion,true_EmoAct,true_EmoVal,pred_EmoAct,pred_EmoVal
Female,happy,happy,0.625,0.5,0.5997354,0.7497452
Female,happy,sad,0.375,0.75,0.44675225,0.53001815
Male,angry,angry,0.625,0.25,0.8535352,0.21231279
Female,happy,happy,0.5,0.625,0.5922068,0.7014823
Male,angry,happy,0.375,0.25,0.6116429,0.64712286
Male,happy,happy,0.5,0.75,0.6697485,0.8231783
Female,angry,angry,0.625,0.25,0.65509397,0.2580339
Male,sad,neutral,0.25,0.25,0.38461363,0.5974041
Female,sad,sad,0.25,0.375,0.32209268,0.27846208
Male,neutral,neutral,0.375,0.625,0.3835685,0.68380433
Male,happy,happy,0.625,0.75,0.7716715,0.6910073
Male,neutral,happy,0.375,0.75,0.3497812,0.5769264
Female,happy,neutral,0.75,0.75,0.5873835,0.6896336
Male,happy,happy,0.625,0.625,0.6632068,0.6074499
Male,neutral,happy,0.375,0.375,0.65998673,0.6157222
Female,sad,sad,0.75,0.75,0.35775745,0.434264
Male,angry,contempt,0.5,0.375,0.7283346,0.3307895
Female,happy,sad,0.5,0.75,0.46542552,0.4600988
Female,angry,angry,0.5,0.41666675,0.76781327,0.21016343
Female,happy,angry,0.625,0.375,0.7873166,0.205394
Female,happy,happy,0.75,0.875,0.8727962,0.6972939
Female,happy,surprise,0.375,0.75,0.63124126,0.39623886
Male,happy,happy,0.625,0.625,0.73331493,0.41098315
Female,happy,happy,0.5,0.875,0.5857222,0.6103289
Male,neutral,contempt,0.5,0.5,0.43360525,0.46389332
Male,happy,sad,0.625,0.375,0.39963236,0.34722817
Female,angry,angry,0.875,0.0,0.8436904,0.18907051
Female,happy,angry,0.625,0.75,0.7634358,0.2435181
Female,angry,angry,0.625,0.75,0.7965899,0.21771584
Female,neutral,happy,0.625,0.625,0.71766156,0.78133154
Male,happy,neutral,0.5,0.625,0.4792846,0.6188907
Male,neutral,happy,0.375,0.5,0.5377363,0.6544822
Female,angry,angry,0.875,0.125,0.8403412,0.19042511
Male,neutral,happy,0.5,0.25,0.7045515,0.6114864
Female,sad,sad,0.375,0.5,0.40164343,0.49912167
