Gender,true_emotion,pred_emotion,true_EmoAct,true_EmoVal,pred_EmoAct,pred_EmoVal
Female,happy,happy,0.5,0.625,0.7244948,0.829398
Female,angry,angry,0.5,0.375,0.68026096,0.33896378
Female,angry,angry,0.875,0.125,0.8810865,0.31280062
Male,angry,happy,0.375,0.5,0.58165354,0.57635576
Female,angry,angry,0.625,0.25,0.6086439,0.33384618
Male,happy,contempt,0.5,0.625,0.514336,0.31700063
Female,happy,happy,0.75,0.75,0.7070573,0.7507658
Male,happy,neutral,0.625,0.625,0.5997317,0.6074635
Male,angry,angry,0.625,0.25,0.62466604,0.16520858
Male,angry,happy,0.375,0.25,0.56711227,0.58647853
Male,happy,neutral,0.5,0.75,0.53982484,0.532306
Female,happy,happy,0.625,0.75,0.8361414,0.8319652
Female,angry,angry,0.875,0.0,0.859627,0.16845419
Male,sad,happy,0.5,0.75,0.5010244,0.63342583
Male,sad,happy,0.25,0.25,0.5798555,0.74912983
Female,angry,neutral,0.625,0.25,0.6742362,0.4982245
Male,neutral,happy,0.5,0.5,0.6919999,0.6146638
Female,neutral,happy,0.625,0.625,0.7190002,0.8131904
Male,happy,happy,0.5,0.25,0.6647097,0.4458954
Male,angry,angry,0.75,0.25,0.7650629,0.36635
Female,angry,angry,0.625,0.75,0.82047004,0.18053533
Male,sad,surprise,0.375,0.25,0.45942652,0.456276
Female,happy,neutral,0.5,0.75,0.509475,0.5524739
Female,happy,happy,0.625,0.75,0.80988777,0.845911
Female,happy,happy,0.875,1.0,0.88765156,0.743557
Male,angry,angry,0.5,0.125,0.79857785,0.43685716
Female,angry,angry,0.75,0.125,0.84463185,0.21011351
Female,angry,angry,0.625,0.25,0.8004925,0.45446414
Male,happy,neutral,0.5,0.625,0.5564041,0.6496649
Female,happy,neutral,0.375,0.75,0.47021794,0.49343076
Male,happy,sad,0.625,0.375,0.49795407,0.5407786
Female,angry,angry,0.875,0.125,0.87739694,0.23513472
Male,happy,happy,0.625,0.625,0.7088975,0.674247
Female,angry,angry,0.75,0.125,0.8218271,0.1867848
Female,happy,angry,0.25,0.375,0.7889173,0.1783604
Female,sad,sad,0.25,0.125,0.45436808,0.51311404
Male,angry,happy,0.5,0.375,0.58917886,0.5203618
Female,happy,happy,0.75,0.75,0.68403167,0.7133506
Female,happy,happy,0.75,0.75,0.71824825,0.54084337
Male,happy,happy,0.625,0.5,0.68736464,0.71697026
Female,happy,happy,0.5,0.75,0.8290267,0.7964205
Female,happy,happy,0.75,0.875,0.7926385,0.75416374
Female,happy,contempt,0.5,0.625,0.46400693,0.602663
Male,neutral,happy,0.5,0.375,0.6641175,0.6749307
Male,angry,surprise,0.625,0.25,0.71011573,0.40356913
Male,angry,angry,0.75,0.25,0.59246206,0.1672867
Male,happy,happy,0.875,0.75,0.76085865,0.82018614
Female,angry,angry,0.5,0.25,0.8275615,0.36256942
Female,sad,sad,0.375,0.125,0.41288766,0.43131858
Female,happy,angry,0.75,0.875,0.71031207,0.4959654
Female,happy,angry,0.75,0.75,0.6688768,0.45001042
Male,neutral,happy,0.5,0.625,0.5491854,0.57631546
Female,angry,neutral,0.5,0.25,0.68835455,0.5722903
Female,angry,angry,0.625,0.25,0.609308,0.18759586
Female,happy,happy,0.75,0.875,0.8357863,0.7551879
Female,angry,angry,0.875,0.125,0.84128445,0.19131833
Male,sad,sad,0.25,0.25,0.5058179,0.5098875
Male,happy,happy,0.75,0.25,0.61853707,0.56872463
Female,happy,happy,0.625,0.375,0.65078145,0.5137834
Female,happy,surprise,0.5,0.75,0.7663596,0.70644677
Male,sad,sad,0.25,0.25,0.3128516,0.2722728
Male,happy,angry,0.5,0.5,0.66200906,0.405533
Male,angry,surprise,0.625,0.375,0.63080543,0.54852325
Female,angry,angry,0.5,0.5,0.7777001,0.2995971
Male,neutral,happy,0.375,0.5,0.5987805,0.5993331
Female,happy,happy,0.75,0.875,0.78801996,0.83649194
Male,happy,neutral,0.625,0.875,0.6211018,0.62604356
Female,sad,surprise,0.25,0.375,0.45791575,0.28854656
Male,neutral,neutral,0.375,0.5,0.42815715,0.5235952
Female,angry,angry,0.5,0.41666675,0.6956423,0.2169441
Male,neutral,neutral,0.5,0.5,0.4727092,0.5207887
Female,angry,contempt,0.375,0.25,0.56075275,0.38672206
Female,angry,happy,0.75,0.125,0.87214625,0.6714031
Male,happy,neutral,0.75,0.875,0.60480106,0.6388985
Female,neutral,happy,0.41666675,0.5,0.710298,0.57026124
Female,happy,happy,0.5,0.625,0.7487329,0.8001673
Female,angry,angry,0.875,0.25,0.83336425,0.18234608
Female,angry,angry,0.875,0.0,0.86847734,0.21926814
Female,happy,angry,0.625,0.875,0.8294945,0.32187462
Female,angry,angry,0.875,0.125,0.8694613,0.18464157
Male,happy,neutral,0.75,0.375,0.64567155,0.51705605
Female,neutral,neutral,0.375,0.5,0.44475737,0.49928096
Male,neutral,happy,0.5,0.41666675,0.6501667,0.5595394
Male,neutral,neutral,0.5,0.5,0.6139626,0.60657215
Male,happy,happy,0.375,0.5,0.61434686,0.5433932
Female,happy,happy,0.625,0.75,0.71988475,0.38141897
Male,happy,happy,0.375,0.25,0.5367381,0.49323937
Male,sad,sad,0.25,0.5,0.29378355,0.3692676
Male,neutral,neutral,0.375,0.375,0.44756478,0.4658995
Male,sad,sad,0.375,0.375,0.36408097,0.39985403
Female,happy,happy,0.375,0.75,0.6699022,0.6790085
Male,angry,angry,0.5,0.375,0.6384679,0.19107024
Male,happy,happy,0.625,0.625,0.7192518,0.6530992
Female,neutral,neutral,0.375,0.5,0.41384187,0.4559142
Female,angry,angry,0.625,0.375,0.7968711,0.3733594
Male,angry,happy,0.75,0.125,0.88569903,0.6611079
Male,neutral,sad,0.375,0.375,0.35810938,0.36279014
Female,happy,happy,0.625,0.375,0.77223355,0.33885974
Female,neutral,neutral,0.25,0.5,0.4154714,0.4776202
Female,happy,neutral,0.375,0.75,0.44242015,0.5710913
Male,angry,angry,0.625,0.125,0.59036034,0.24228252
Female,happy,happy,0.625,0.75,0.8100538,0.6648153
Male,neutral,happy,0.625,0.25,0.75284153,0.7572688
Male,happy,happy,0.625,0.625,0.7170033,0.5070285
Female,happy,neutral,0.375,0.625,0.5521738,0.57706887
Female,angry,angry,0.625,0.25,0.72141564,0.45564842
Female,happy,happy,0.375,0.75,0.7362276,0.7821142
Female,happy,happy,0.75,0.75,0.79266894,0.7212641
Male,neutral,happy,0.375,0.25,0.7184998,0.6719642
Female,happy,happy,0.75,0.875,0.8573427,0.8216234
Female,angry,angry,0.5,0.125,0.8089026,0.32361263
Female,happy,neutral,0.5,0.375,0.32336363,0.4877053
Male,happy,neutral,0.5,0.75,0.5947771,0.5034564
Male,neutral,neutral,0.375,0.5,0.3984709,0.53327304
Female,happy,happy,0.75,1.0,0.7436507,0.8129514
Male,happy,happy,0.625,0.75,0.84630907,0.82231563
Female,angry,happy,0.375,0.125,0.64050615,0.56435144
Female,angry,angry,0.875,0.125,0.8752344,0.20761292
Female,sad,sad,0.375,0.5,0.38193792,0.4691969
Female,surprise,happy,0.75,0.875,0.78175414,0.83293283
Female,happy,happy,0.875,0.875,0.87262183,0.82118064
Male,happy,contempt,0.5,0.375,0.666099,0.49556446
Female,neutral,surprise,0.5,0.625,0.71398085,0.7260189
Male,angry,angry,0.875,0.25,0.8478676,0.1726443
Male,happy,happy,0.375,0.5,0.5425578,0.610767
Male,neutral,happy,0.375,0.5,0.57650745,0.603582
Female,angry,angry,0.75,0.125,0.83388305,0.16378093
Male,neutral,neutral,0.375,0.5,0.37234482,0.47943506
