Gender,true_emotion,pred_emotion,true_EmoAct,true_EmoVal,pred_EmoAct,pred_EmoVal
Female,neutral,happy,0.36666667,0.53333336,0.67292273,0.5070538
Female,neutral,neutral,0.43333334,0.46666667,0.48804754,0.4758341
Female,surprise,neutral,0.56666666,0.53333336,0.6222606,0.5605935
Male,happy,happy,0.8,0.8,0.81252176,0.77606994
Male,neutral,angry,0.5,0.36666667,0.74498034,0.40276846
Female,neutral,neutral,0.2,0.56666666,0.22060594,0.43594867
Female,sad,surprise,0.46666667,0.53333336,0.59753114,0.56110305
Male,happy,happy,0.7575758,0.8636363,0.8009203,0.81108314
Male,neutral,contempt,0.3,0.6333333,0.4561168,0.4670951
Male,angry,angry,0.8055555,0.20370367,0.7480632,0.25627226
Male,neutral,contempt,0.7,0.46666667,0.5785804,0.43209872
Female,neutral,neutral,0.53333336,0.5,0.47966117,0.4149933
Female,neutral,neutral,0.36666667,0.46666667,0.2515403,0.45294753
Female,neutral,neutral,0.5,0.56666666,0.43668395,0.51103705
Male,happy,happy,0.53333336,0.7,0.6844174,0.7875302
Female,neutral,contempt,0.53333336,0.53333336,0.54064524,0.46323472
Male,neutral,neutral,0.52777785,0.61111116,0.45708945,0.56617683
Female,neutral,neutral,0.56666666,0.6,0.42516503,0.54880184
Female,surprise,happy,0.56666666,0.46666667,0.7861019,0.665416
Female,neutral,neutral,0.33333334,0.5555555,0.5148842,0.54852605
Male,contempt,neutral,0.73333335,0.6333333,0.43110037,0.5407702
Female,neutral,happy,0.76666665,0.5,0.64885974,0.6816777
Female,neutral,neutral,0.43333334,0.5,0.3815242,0.5004636
Female,happy,surprise,0.7,0.6333333,0.6157857,0.6481618
Male,contempt,neutral,0.53333336,0.5,0.45842108,0.5110468
Female,neutral,neutral,0.36666667,0.6333333,0.46478906,0.5637791
Female,neutral,neutral,0.5,0.53333336,0.4299724,0.5501686
Female,happy,neutral,0.6,0.76666665,0.52927685,0.62895566
Female,happy,happy,0.6,0.76666665,0.67242575,0.7192035
Female,happy,happy,0.46666667,0.6,0.47720194,0.53015864
Male,neutral,neutral,0.36666667,0.43333334,0.40363696,0.502346
Female,neutral,angry,0.68333334,0.55,0.6356037,0.33570552
Male,neutral,happy,0.53333336,0.3,0.5570686,0.602133
Male,neutral,neutral,0.23333333,0.53333336,0.46835735,0.5422334
Male,contempt,surprise,0.6,0.33333334,0.7292353,0.43544394
Male,neutral,sad,0.462963,0.425926,0.43115833,0.41000432
Male,neutral,contempt,0.76666665,0.46666667,0.7447561,0.5302166
Female,neutral,neutral,0.36666667,0.53333336,0.5396756,0.5989336
Male,neutral,neutral,0.36666667,0.5,0.35572907,0.43471292
Male,neutral,neutral,0.212963,0.40740734,0.2645862,0.44111013
Male,neutral,neutral,0.5208333,0.625,0.61695594,0.6634484
Female,neutral,neutral,0.7,0.43333334,0.6096616,0.5340908
Male,happy,happy,0.7,0.6333333,0.77703303,0.69023544
Male,neutral,neutral,0.46666667,0.43333334,0.4191706,0.4620787
Male,neutral,neutral,0.5,0.5,0.50316113,0.55582905
Female,sad,contempt,0.3194445,0.15277784,0.5267176,0.5553504
Male,neutral,neutral,0.6333333,0.5,0.56851983,0.63061565
Female,neutral,neutral,0.6929825,0.4385965,0.6655915,0.52938586
Female,happy,happy,0.6666667,0.6333333,0.7082338,0.6539551
Female,happy,happy,0.7,0.6,0.83510065,0.6249842
Female,neutral,happy,0.4,0.5,0.5702311,0.5866592
Female,neutral,surprise,0.6666667,0.6333333,0.76389915,0.6555745
Female,contempt,neutral,0.7,0.6,0.6490673,0.56063217
Male,neutral,happy,0.5416667,0.5416667,0.7309796,0.69724905
Female,surprise,happy,0.7,0.6666667,0.57980496,0.6183982
Female,neutral,neutral,0.6212122,0.7121212,0.63987595,0.6017233
Female,happy,surprise,0.56666666,0.6333333,0.6905412,0.5724718
Female,happy,happy,0.7142857,0.7142857,0.7553404,0.7537103
